--- ATL ---
Kevin Durant (duranke01) | curr_mins, 36.7 | prev_mins, mean: 36.78181818181818, std: 5.368903423134202 | 2fga, mean: 14.818181818181818, std: 3.9913128807945757 | 3fga, mean: 5.454545454545454, std: 2.647936979600135 | fta, mean: 7.4363636363636365, std: 3.350786265198262 | 2fgp: (18, 14) | 3fgp: (6, 9) | ftp: (11, 2) | ast, mean: 6.381818181818182, std: 2.812251825597863 | reb, mean: 7.4, std: 3.0901603371169775 | stl, mean: 0.8727272727272727, std: 0.9156129681464854 | blk, mean: 0.9454545454545454, std: 0.9614039321019847
Royce O'Neale (onealro01) | curr_mins, 35.6 | prev_mins, mean: 30.766233766233768, std: 3.4070061652847667 | 2fga, mean: 1.7922077922077921, std: 1.3420053064487802 | 3fga, mean: 3.9740259740259742, std: 1.7130062127848913 | fta, mean: 0.7272727272727273, std: 1.1581037303692443 | 2fgp: (15, 10) | 3fgp: (8, 12) | ftp: (5, 2) | ast, mean: 2.4805194805194803, std: 1.517092140019459 | reb, mean: 4.779220779220779, std: 2.7474823262533863 | stl, mean: 1.1168831168831168, std: 1.2990908506668764 | blk, mean: 0.4155844155844156, std: 0.7089529383873339
Kyrie Irving (irvinky01) | curr_mins, 36.6 | prev_mins, mean: 37.10344827586207, std: 4.5360230765256135 | 2fga, mean: 13.0, std: 3.6577739603244463 | 3fga, mean: 8.241379310344827, std: 3.0360497521455363 | fta, mean: 4.448275862068965, std: 3.909195233315418 | 2fgp: (2, 2) | 3fgp: (6, 8) | ftp: (22, 3) | ast, mean: 5.758620689655173, std: 2.1759686295563445 | reb, mean: 4.379310344827586, std: 1.919299317251827 | stl, mean: 1.4137931034482758, std: 1.0344827586206895 | blk, mean: 0.5862068965517241, std: 0.8101613878945331
Nic Claxton (claxtni01) | curr_mins, 26.4 | prev_mins, mean: 20.319148936170212, std: 6.598215048699295 | 2fga, mean: 5.617021276595745, std: 2.756448466502408 | 3fga, mean: 1.0, std: 1.0 | fta, mean: 1.9787234042553192, std: 1.6565712050912111 | 2fgp: (20, 10) | 3fgp: (3, 6) | ftp: (12, 9) | ast, mean: 0.9148936170212766, std: 1.0279040280154181 | reb, mean: 5.617021276595745, std: 2.847568514778146 | stl, mean: 0.5106382978723404, std: 0.7107784292974496 | blk, mean: 1.0851063829787233, std: 1.1453845815910442
Joe Harris (harrijo01) | curr_mins, 26.4 | prev_mins, mean: 29.714285714285715, std: 5.724989974146823 | 2fga, mean: 2.5714285714285716, std: 1.4498416521560316 | 3fga, mean: 6.285714285714286, std: 2.839229559193113 | fta, mean: 0.42857142857142855, std: 0.8206518066482901 | 2fgp: (6, 8) | 3fgp: (8, 9) | ftp: (6, 2) | ast, mean: 1.0, std: 0.8451542547285166 | reb, mean: 4.0, std: 1.647508942095828 | stl, mean: 0.5, std: 0.7319250547113999 | blk, mean: 0.14285714285714285, std: 0.34992710611188266
Edmond Sumner (sumneed01) | curr_mins, 15.9 | prev_mins, mean: 15.849056603773585, std: 8.541565908345339 | 2fga, mean: 3.660377358490566, std: 2.7468224951504823 | 3fga, mean: 1.6603773584905661, std: 1.4134581736096636 | fta, mean: 1.5660377358490567, std: 1.6541478335323534 | 2fgp: (8, 6) | 3fgp: (3, 4) | ftp: (10, 3) | ast, mean: 0.9245283018867925, std: 1.1301871042922216 | reb, mean: 1.7735849056603774, std: 1.689495955133859 | stl, mean: 0.6226415094339622, std: 0.8517776105883557 | blk, mean: 0.18867924528301888, std: 0.3912536104401457
Ben Simmons (simmobe01) | curr_mins, 28.1 | prev_mins, mean: 31.844827586206897, std: 5.585701339405116 | 2fga, mean: 9.879310344827585, std: 3.769558586647626 | 3fga, mean: 0.1724137931034483, std: 0.4209157108873691 | fta, mean: 4.948275862068965, std: 3.4462494045531407 | 2fgp: (10, 8) | 3fgp: (4, 8) | ftp: (12, 8) | ast, mean: 6.913793103448276, std: 2.7747909691922845 | reb, mean: 7.189655172413793, std: 3.1593151623234803 | stl, mean: 1.603448275862069, std: 1.0160717998729358 | blk, mean: 0.603448275862069, std: 0.7413793103448276
Yuta Watanabe (watanyu01) | curr_mins, 18.2 | prev_mins, mean: 11.289473684210526, std: 9.290368228883871 | 2fga, mean: 1.5526315789473684, std: 2.5720907778554563 | 3fga, mean: 2.0789473684210527, std: 1.8264371262590142 | fta, mean: 1.0526315789473684, std: 1.4317337377616257 | 2fgp: (2, 2) | 3fgp: (11, 20) | ftp: (4, 3) | ast, mean: 0.5526315789473685, std: 0.8795144719509684 | reb, mean: 2.4210526315789473, std: 2.80630473405648 | stl, mean: 0.2894736842105263, std: 0.6029704861784 | blk, mean: 0.42105263157894735, std: 0.7119868030772989
Cam Thomas (thomaca02) | curr_mins, 16.2 | prev_mins, mean: 17.059701492537314, std: 10.356165655061357 | 2fga, mean: 4.91044776119403, std: 3.8506884179386973 | 3fga, mean: 2.5970149253731343, std: 2.3693295322966486 | fta, mean: 1.5671641791044777, std: 2.023915818827932 | 2fgp: (14, 13) | 3fgp: (8, 20) | ftp: (25, 6) | ast, mean: 1.164179104477612, std: 1.3669555990274997 | reb, mean: 2.4029850746268657, std: 1.9627858779709795 | stl, mean: 0.4925373134328358, std: 0.6774212368901622 | blk, mean: 0.11940298507462686, std: 0.367418914181826
Patty Mills (millspa01) | curr_mins, 11.5 | prev_mins, mean: 10.878787878787879, std: 4.623769784019383 | 2fga, mean: 2.4242424242424243, std: 2.296641857151081 | 3fga, mean: 1.0606060606060606, std: 1.042706092974864 | fta, mean: 0.7272727272727273, std: 1.5622968187454838 | 2fgp: (7, 8) | 3fgp: (6, 18) | ftp: (18, 8) | ast, mean: 0.8787878787878788, std: 0.9131223741405675 | reb, mean: 3.4545454545454546, std: 2.0013769364798017 | stl, mean: 0.30303030303030304, std: 0.521353046487432 | blk, mean: 0.3939393939393939, std: 0.6485131684555362
